,jp,en
443,ほいほい,"ほいほい
ほいほい

recklessly
thoughtlessly
carelessly
readily
blithely
willingly
easily
pamperingly
indulgently
carefully (not angering)
shoo!
heave-ho
hallo
hello
Hui (people)
novice
beginner
"
444,こくり,"こくり
こくり

nodding
dozing off
suddenly
"
445,どんどん,"どんどん
どんどん

drumming (noise)
rapidly
steadily
"
446,チラチラ,"チラチラ
チラチラ

falling lightly (e.g. snow, petals, confetti)
fluttering
flickering
twinkling
glimmering
sparkling
dazzling
appearing and disappearing
catching glimpses
glancing (repeatedly)
(hear, see) from time to time
intermittently
"
447,バキバキ,"バキバキ
バキバキ

sound of cracking branches
sound made when cracking one's knuckles
"
448,ダラダラ,"ダラダラ
ダラダラ

in drops
dripping
trickling
streaming
flowing
gently (sloping)
sluggishly
endlessly
lengthily
leisurely
idly
slowly
slovenly
"
449,とぼとぼ,"とぼとぼ
とぼとぼ

totteringly
trudgingly
"
450,バチバチ,"バチバチ
バチバチ

crackling (of fire, fireworks, etc.)
sparking
sputtering
spitting
to fight
to argue
"
451,ブツブツ,"ブツブツ
ブツブツ

grunt
grumble
complaint
mutter
pimples
spots
eruption
rash
cutting into small pieces
simmering
"
452,ゾクゾク,"ゾクゾク
ゾクゾク

shiver
feel chilly
shudder
thrill
"
453,ぐるぐる,"ぐるぐる
ぐるぐる

turning round and round
going around in circles
wrapped around
"
454,どすんどすん,"どすんどすん
どすんどすん

thud thud (esp. footsteps)
clump clump
"
455,モヤモヤ,"モヤモヤ
モヤモヤ

hazy
murky
misty
foggy
fuzzy
gloomy
feeling depressed
feeling sad
"
456,ポカン,"ポカン
ポカン

vacantly
blankly
absentmindedly
openmouthed
with one's mouth wide-open
gaping
flabbergasted
with a whack
with a thump
"
457,ポロポロ,"ポロポロ
ポロポロ

in large drops
"
458,ずんずん,"ずんずん
ずんずん

rapidly (e.g. progress, moving forward)
growing visibly
quickly
steadily
by leaps and bounds
"
459,がさっ,"がさっ
がさっ

with a swoosh
at one fell swoop
"
460,ガラガラ,"ガラガラ
ガラガラ

clattering
rattling
gargling
empty
bare
uninhabited
vacant
unoccupied
raspy (voice)
gravelly
rattle (e.g. baby's toy)
"
461,キャッキャ,"キャッキャ
キャッキャ

chitter
chatter
giggle
screeching
squealing
"
462,ごろごろ,"ごろごろ
ごろごろ

thundering
purring
grumbling (e.g. stomach)
something large and heavy starting to roll
scattered about
common
commonplace
all over
idleness
idling about
having a foreign substance in (e.g. one's eye or stomach)
thunder
"
463,ちょこん,"ちょこん
ちょこん

slightly (of an action)
(looking) small and quiet
"
464,しくしく,"しくしく
しくしく

weeping
sobbing
crying
with a dull pain
prolonged dull pain
"
465,ニコニコ,"ニコニコ
ニコニコ

with a friendly grin
smilingly
"
466,ドバドバ,"ドバドバ
ドバドバ

pouring out in large amounts
flowing out gushingly
"
467,運ぶ,"運ぶ
はこぶ

to carry
to transport
to move
to convey
to come
to go
to wield (a tool, etc.)
to use
to go (well, etc.)
to proceed
to progress
"
468,疲れる,"疲れる
つかれる

to get tired
to tire
to be worn out (e.g. of well used objects)
to starve
"
469,遭遇,"遭遇
そうぐう

encounter
being confronted with (e.g. difficulty)
meeting with (e.g. accident)
"
470,割合,"割合
わりあい

rate
ratio
percentage
proportion
comparatively
contrary to expectations
"
471,制度,"制度
せいど

system
institution
organization
organisation
"
472,途端,"途端
とたん

just (now, at the moment, etc.)
just as
in the act of
as soon as
at the moment that
"
473,机,"机
つくえ
つき

desk
"
474,背景,"背景
はいけい

background
scenery
backdrop
setting
circumstance
context
backing
support (from behind the scenes)
"
475,九月,"九月
くがつ

September
"
476,八日,"八日
ようか

the eighth day of the month
eight days
"
477,個人,"個人
こじん

individual
private person
personal
private
"
478,首相,"首相
しゅしょう

Prime Minister
Chancellor (Germany, Austria, etc.)
Premier
"
479,玄関,"玄関
げんかん

entranceway
entry hall
vestibule
foyer
entryway
mud room
"
480,遅れる,"遅れる
おくれる

to be late
to be delayed
to fall behind schedule
to be overdue
"
481,地震,"地震
じしん
ない
なえ
じぶるい

earthquake
"
482,四日,"四日
よっか

fourth day of the month
four days
"
483,昨夜,"昨夜
ゆうべ
さくや

last night
evening
"
484,二十歳,"二十歳
はたち
にじゅっさい 20

years old
twenty
"
485,封筒,"封筒
ふうとう

envelope
"
486,廊下,"廊下
ろうか

corridor
hallway
passageway
"
487,賑やか,"賑やか
にぎやか

bustling
busy
lively
"
488,引っ張る,"引っ張る
ひっぱる

to pull
to draw
to pull tight
to string (lines)
to run (cable)
to stretch
to pull towards oneself (e.g. someone's sleeve)
to drag
to haul
to tow
to lead (e.g. one's followers)
to take someone somewhere (e.g. a suspect to the police)
to tempt into joining
to strongly invite to join
to delay
to prolong
to lengthen the pronunciation (of a word)
to quote
to cite
to reference
to pull the ball
to wear
to put on
"
489,近所,"近所
きんじょ

neighbourhood
neighborhood
"
490,舞台,"舞台
ぶたい

stage (theatre, theater)
scene or setting (e.g. of novel, play, etc.)
"
491,台所,"台所
だいどころ
だいどこ

kitchen
financial situation
"
492,存在,"存在
そんざい

existence
being
"
493,処理,"処理
しょり

processing
dealing with
treatment
disposition
disposal
"
494,宿題,"宿題
しゅくだい

homework
"
495,規則,"規則
きそく

rules
regulations
conventions
"
496,砂,"砂
すな
いさご

sand
grit
gold dust
silver dust
"
497,感覚,"感覚
かんかく

sense
sensation
feeling
intuition
"
498,商品,"商品
しょうひん

commodity
article of commerce
goods
stock
merchandise
"
499,再び,"再び
ふたたび

again
once more
a second time
"
500,東西,"東西
とうざい
ひがしにし

east and west
Orient and Occident
East and West
Ladies and Gentlemen!
Your attention, please!
roll-up, roll-up
"
501,探検,"探検
たんけん

exploration
expedition
"
502,撃つ,"撃つ
うつ

to shoot (at)
to attack
to defeat
to destroy
to avenge
"
503,至る,"至る
いたる

to arrive at (e.g. a decision)
to reach (a stage)
to attain
to lead to (a place)
to get to
to come
to arrive
to result in
"
504,難しい,"難しい
むずかしい
むつかしい

difficult
hard
troublesome
complicated
serious (disease, problem, etc.)
fussy
particular
fastidious
hard to please
displeased
gloomy
glum
sullen
serious (look)
dirty
unclean
filthy
detestable
unpleasant
uncomfortable
creepy
spooky
"
505,現在,"現在
げんざい

now
current
present
present time
as of
"
506,蛇,"蛇
へび
じゃ
くちなわ
へみ

snake
serpent
large snake
"
507,依頼,"依頼
いらい

request
commission
dispatch
despatch
dependence
trust
"
508,飾る,"飾る
かざる

to decorate
to ornament
to adorn
"
509,細い,"細い
ほそい

thin
slender
fine
unlucky (billiards slang)
"
510,椅子,"椅子
いす

chair
stool
post
office
position
"
511,大勢,"大勢
おおぜい
たいぜい

many
crowd
great number of people
"
512,示す,"示す
しめす

to (take out and) show
to demonstrate
to tell
to exemplify
to make apparent
to point out (finger, clock hand, needle, etc.)
to indicate
to show
to represent
to signify
to display
"
513,石鹸,"石鹸
せっけん

soap
"
514,選挙,"選挙
せんきょ

election
"
515,崩れる,"崩れる
くずれる

to collapse
to crumble
to get out of shape
to lose one's shape
to become disorganized
to become untidy
to break down
to be thrown into disarray
to crash (stock market)
to slump
to decline
to break money into small change
to turn bad (e.g. weather)
to change for the worse
to deteriorate
"
516,首,"首
くび

neck
head
dismissal
discharge
firing (from a job)
"
517,季節,"季節
きせつ

season
"
518,枝,"枝
えだ

branch
bow
bough
twig
limb
"
519,形,"形
かたち

form
shape
figure
visage
"
520,殴る,"殴る
なぐる

to strike
to hit
to beat
to punch
"
521,謎,"謎
なぞ

riddle
puzzle
enigma
mystery
enigmatic
mysterious
"
522,廃墟,"廃墟
はいきょ

ruins
abandoned building
"
523,登録,"登録
とうろく

registration
accession
register
entry
record
"
524,傘,"傘
かさ

umbrella
parasol
"
525,寄る,"寄る
よる

to approach
to draw near
to come near
to be close to
to gather (in one place)
to come together
to meet
to stop by (while on one's way to another place)
to drop by
to make a short visit
to grow old
to grow high (number, etc.)
to grow (wrinkly)
to lean against
to recline on
to push one's opponent while holding their belt
to decide on a price and come to a deal
to be swayed by (a person)
to yield to
"
526,分ける,"分ける
わける

to divide (into)
to split (into)
to part
to separate
to divide up
to classify
to sort out
to divide out
to share
to distribute
to deal out
to dish out
to distinguish
to discriminate
to differentiate (between)
to break up (a fight)
to mediate
to call a draw
to tie
to push one's way through (a crowd)
to sell
"
527,通じる,"通じる
つうじる

to be open (to traffic)
to lead to
to communicate (with)
to flow (liquid, current)
to pass
to get through to
to be understood
to be comprehended
to be honored
to be good
to be well versed in
to be well-informed
to communicate clandestinely
to keep in touch (e.g. with the enemy)
to form a liaison
to be intimate
to spread widely
to disseminate
"
528,相当,"相当
そうとう

befitting
becoming
worthy of
proportionate
in keeping with
suitable
considerable
substantial
to be worthy of
to be proportionate to
to correspond to (in meaning, function, etc.)
to be equivalent
extremely
considerably
"
529,割合,"割合
わりあい

rate
ratio
percentage
proportion
comparatively
contrary to expectations
"
530,かかる,"かかる
かかる

to take (a resource, e.g. time or money)
to hang
to come into view
to arrive
to come under (a contract, a tax)
to start (engines, motors)
to attend
to deal with
to handle
to have started to
to be on the verge of
to overlap (e.g. information in a manual)
to cover
to (come) at
to be fastened
to be covered (e.g. with dust, a table-cloth, etc.)
to be caught in
to get a call
to depend on
"
531,流す,"流す
ながす

to drain
to pour
to spill
to shed (blood, tears)
to wash away
to distribute (e.g. electricity over wires, music over a PA system, etc.)
to circulate
to broadcast
to beam
to cruise (e.g. taxi)
to float
to set adrift
to call off (a meeting, etc.)
"
532,落とす,"落とす
おとす

to drop
to lose
to let fall
to shed (light)
to cast (one's gaze)
to pour in (liquid)
to leave behind
to clean off (dirt, makeup, paint, etc.)
to remove (e.g. stains or facial hair)
to lose
to spend money at a certain place
to omit
to leave out
to secretly let escape
to lose (a match)
to reject (an applicant)
to fail (a course)
to defeat (in an election)
to lower (e.g. shoulders or voice)
to lessen (e.g. production or body weight)
to worsen (quality)
to reduce (e.g. rank or popularity)
to speak badly of
to make light of
to fall into straitened circumstances
to fall into (e.g. a dilemma or sin)
to make one's own
to have one's bid accepted
to make someone (fall in love)
to force surrender
to take (e.g. an enemy camp or castle)
to forcefully convince
to press for a confession
to deal with
to download
to copy from a computer to another medium
to make someone swoon (judo)
to finish a story (e.g. with the punch line)
to finish (a period, e.g. of fasting)
"
533,つける,"つける
つける

to attach
to join
to add
to append
to affix
to stick
to glue
to fasten
to sew on
to apply (ointment)
to furnish (a house with)
to wear
to put on
to keep a diary
to make an entry
to appraise
to set (a price)
to allot
to budget
to assign
to bring alongside
to place (under guard or doctor)
to follow
to shadow
to load
to give (courage to)
to keep (an eye on)
to establish (relations or understanding)
to turn on (light)
to produce flowers
to produce fruit
"
534,押す,"押す
おす

to push
to press
to apply pressure from above
to press down
to stamp (i.e. a passport)
to apply a seal
to affix (e.g. gold leaf)
to press (someone for something)
to urge
to compel
to influence
to overwhelm
to overpower
to repress
to push (events along)
to advance (a plan)
to do in spite of ...
to do even though ...
to force
to make sure
to be pressed for time
to advance troops
to attack
(of light) to be diffused across an entire surface
"
535,受ける,"受ける
うける

to receive
to get
to catch (e.g. a ball)
to be struck by (wind, waves, sunlight, etc.)
to sustain (damage)
to incur (a loss)
to suffer (an injury)
to feel (influence)
to undergo (e.g. surgery)
to take (a test)
to accept (a challenge)
to be given (e.g. life, talent)
to follow
to succeed
to be descended from
to face (south, etc.)
to be modified by
to obtain (a pawned item, etc.) by paying a fee
to be well-received
to become popular
to go down well
to be funny
to be humorous
"
536,落ちる,"落ちる
おちる

to fall down
to drop
to fall (e.g. rain)
to sink (e.g. sun or moon)
to fall onto (e.g. light or one's gaze)
to be used in a certain place (e.g. money)
to be omitted
to be missing
to decrease
to sink
to fail (e.g. exam or class)
to lose (contest, election, etc.)
to crash
to degenerate
to degrade
to fall behind
to become indecent (of a conversation)
to be ruined
to go under
to fade
to come out (e.g. a stain)
to come off (e.g. makeup)
to be removed (e.g. illness, possessing spirit, name on a list)
to fall (into someone's hands)
to become someone's possession
to fall (into a trap)
to fall (for a trick)
to give in
to give up
to confess
to flee
to fall
to be defeated
to surrender
to come to (in the end)
to end in
to fall (in love, asleep, etc.)
to swoon (judo)
to consent
to understand
to crash
to freeze
to die
to move to the depths
"
537,都合,"都合
つごう

circumstances
condition
convenience
to arrange
to manage
to lend money
to raise money
in all
in total
all told
"
538,やる,"やる
やる

to do
to undertake
to perform
to play (a game)
to study
to send
to dispatch
to despatch
to put
to move
to turn (one's head, glance, etc.)
to give (esp. to someone of equal or lower status)
to let have
to present
to bestow
to confer
to make (a vehicle) go faster
to run (a business)
to keep
to be engaged in
to practice (law, medicine, etc.)
to practise
to have (food, drink, etc.)
to eat
to drink
to smoke
to hold (a performance)
to perform
to show
to ease (one's mind)
to harm
to injure
to kill
to have sex with
to live
to get by
to get along
to do ... completely
to do ... broadly
to do ... to a great distance
to do ... for (someone of equal or lower status)
to do ... to (sometimes with negative nuance)
to make active efforts to ...
"
539,太い,"太い
ふとい

fat
thick
deep (of a voice)
daring
shameless
brazen
lucky (billiards)
"
540,無理,"無理
むり

unreasonable
unnatural
unjustifiable
impossible
forcible
forced
compulsory
excessive (work, etc.)
immoderate
to work too hard
to try too hard
irrational
"
541,締める,"締める
しめる

to tie
to fasten
to total
to sum
to be strict with
to economize
to economise
to cut down on
to salt
to marinate
to pickle
to make sushi adding a mixture of vinegar and salt
to wear (necktie)
to put on (necktie)
"
542,他,"他
ほか

other (place, thing, person)
the rest
outside
beyond
nothing except
nothing but
nothing apart from
nothing aside from
no choice (but to)
besides...
in addition to...
"
543,起こす,"起こす
おこす

to raise
to raise up
to set up
to pick up
to wake
to wake up
to waken
to awaken
to cause
to bring about
to lead to
to trigger
to give rise to
to create
to generate (e.g. heat, electricity)
to produce
to start
to begin
to launch
to establish
to found
to set up
to open
to plough
to plow
to till
to fall ill with
to transcribe
to write down (what is spoken)
to turn over (a card)
"
544,運ぶ,"運ぶ
はこぶ

to carry
to transport
to move
to convey
to come
to go
to wield (a tool, etc.)
to use
to go (well, etc.)
to proceed
to progress
"
545,解く,"解く
とく

to untie
to unfasten
to unwrap
to undo
to unbind
to unpack
to unsew
to unstitch
to solve
to work out
to answer
to dispel (misunderstanding, etc.)
to clear up
to remove (suspicion)
to appease
to dissolve (a contract)
to cancel
to remove (a prohibition)
to lift (a ban)
to raise (a siege)
to release (from duty)
to relieve
to dismiss
to comb (out)
to card
to untangle (hair)
"
546,登る,"登る
のぼる

to ascend
to go up
to climb
to ascend (as a natural process, e.g. the sun)
to rise
to go to (the capital)
to be promoted
to add up to
to advance (in price)
to swim up (a river)
to sail up
to come up (on the agenda)
"
547,正体,"正体
しょうたい

true character
true form
true colors (colours)
identity
truth (of a mystery, phenomenon, etc.)
origin
consciousness
one's senses
"
548,許す,"許す
ゆるす

to permit
to allow
to approve
to tolerate
to exempt (from fine)
to excuse (from)
to pardon
to forgive
to release
to let off
to confide in
to give up
to yield
"
549,比べる,"比べる
くらべる

to compare
to make a comparison
to compete
to vie
"
550,かける,"かける
かける

to hang (e.g. picture)
to hoist (e.g. sail)
to raise (e.g. flag)
to sit
to take (time, money)
to expend (money, time, etc.)
to make (a call)
to multiply
to secure (e.g. lock)
to put on (glasses, etc.)
to cover
to burden someone
to apply (insurance, etc.)
to turn on (an engine, etc.)
to set (a dial, an alarm clock, etc.)
to put an effect (spell, anaesthetic, etc.) on
to hold an emotion for (pity, hope, etc.)
to bind
to pour (or sprinkle, spray, etc.) onto
to argue (in court)
to deliberate (in a meeting)
to present (e.g. idea to a conference, etc.)
to increase further
to catch (in a trap, etc.)
to set atop
to erect (a makeshift building)
to hold (a play, festival, etc.)
to wager
to bet
to risk
to stake
to gamble
to be partway doing ...
to begin (but not complete) ...
to be about to ...
indicates (verb) is being directed to (someone)
"
551,降りる,"降りる
おりる

to descend (e.g. a mountain)
to go down
to come down
to alight (e.g. from bus)
to get off
to disembark
to dismount
to step down
to retire
to give up
to quit
to be granted
to be issued
to be given
to form (of frost, dew, mist, etc.)
to be passed (from the body
e.g. of a roundworm)
"
552,踏む,"踏む
ふむ

to step on
to tread on
to experience
to undergo
to estimate
to value
to appraise
to rhyme
to inherit (the throne, etc.)
to follow (rules, morals, principles, etc.)
"
553,引っ張る,"引っ張る
ひっぱる

to pull
to draw
to pull tight
to string (lines)
to run (cable)
to stretch
to pull towards oneself (e.g. someone's sleeve)
to drag
to haul
to tow
to lead (e.g. one's followers)
to take someone somewhere (e.g. a suspect to the police)
to tempt into joining
to strongly invite to join
to delay
to prolong
to lengthen the pronunciation (of a word)
to quote
to cite
to reference
to pull the ball
to wear
to put on
"
554,付く,"付く
つく

to be attached
to be connected with
to adhere
to stick
to cling
to remain imprinted
to scar
to stain
to dye
to bear (fruit, interest, etc.)
to be acquired (of a habit, ability, etc.)
to increase (of strength, etc.)
to accrue (interest, etc.)
to take root
to accompany
to attend
to follow
to study with
to side with
to belong to
to possess
to haunt
to be lit
to be lighted
to be settled
to be resolved
to be decided
to be given (of a name, price, etc.)
to be sensed
to be perceived
to be lucky
to become (a state, condition, etc.)
"
555,込む,"込む
こむ

to be crowded
to be packed
to be complex
to go into
to put into
to remain (seated)
to be plunged into (silence)
to do thoroughly
to do intently
to continue in the same state
"
556,離れる,"離れる
はなれる

to be separated
to be apart
to be distant
to leave
to go away
to leave (a job, etc.)
to quit
to give up
to lose connection with
to drift away from
"
557,箱,"箱
はこ

box
case
chest
package
pack
car (of a train, etc.)
shamisen case
shamisen
public building
community building
man who carries a geisha's shamisen
receptacle for human waste
feces (faeces)
counter for boxes (or boxed objects)
"
558,厳しい,"厳しい
きびしい
いかめしい

severe
strict
rigid
unsparing
relentless
stern
austere
grave
solemn
majestic
intense (cold)
harsh
"
559,席,"席
せき

seat
location (of a gathering, etc.)
place
position
post
"
560,考える,"考える
かんがえる

to think about
to take into consideration
to ponder
to reflect
to try to come at a conclusion
to think over (something)
to intend
to decide (to do)
to plan
to come up with
to devise
to scheme
to predict
to anticipate
to expect
to suspect
to doubt
to consider (somebody to be something)
to look on
"
561,返す,"返す
かえす

to return (something)
to restore
to put back
to turn over
to turn upside down
to overturn
to pay back
to retaliate
to reciprocate
to repeat ...
to do ... back
"
562,渡す,"渡す
わたす

to ferry across (e.g. a river)
to carry across
to traverse
to lay across
to build across
to hand over
to hand in
to pass
to give
to transfer
"
563,入る,"入る
はいる

to enter
to go into
to break into
to join
to enroll
to contain
to hold
to accommodate
to have (an income of)
to get
to receive
to score
"
564,だけ,"だけ
だけ

only
just
merely
simply
no more than
nothing but
alone
as (e.g. as soon as, as much as)
worth
"
565,様子,"様子
ようす

state
state of affairs
situation
circumstances
appearance
look
aspect
sign
indication
"
566,開く,"開く
あく

to open (e.g. doors)
to open (e.g. business, etc.)
to be empty
to be vacant
to be available
to be free
to be open (e.g. neckline, etc.)
to have been opened (of one's eyes, mouth, etc.)
to come to an end
to open (one's eyes, mouth, etc.)
to have a hole
to form a gap
to have an interval (between events)
"
567,末,"末
すえ

tip
top
end
close (e.g. close of the month)
youngest child
descendants
offspring
posterity
future
finally
trivialities
"
568,吹く,"吹く
ふく

to blow (of the wind)​
to blow (one's breath)
to breathe out
to blow on (hot tea, candles, etc.)
to puff​
to play (a wind instrument)
to blow (a whistle, trumpet, etc.)
to whistle (a tune)​
to emit (smoke, fire, etc.)
to spout
to spew
to puff out
to sprout
to put forth (buds)​
to appear (on the surface)
to form
to be coated with (powder, rust, etc.)​
to burst out laughing
to burst into laughter
to brag
to talk big​
to smelt
to mint
"
569,下げる,"下げる
さげる

to hang
to suspend
to wear (e.g. decoration)
to lower
to reduce
to bring down
to demote
to move back
to pull back
to clear (plates)
to remove (food, etc. from table or altar)
"
570,多少,"多少
たしょう

more or less
somewhat
a little
a few
some
amount
quantity
"
571,影,"影
かげ

shadow
silhouette
figure
shape
reflection
image
ominous sign
light (stars, moon)
trace
shadow (of one's former self)
"
572,耐える,"耐える
たえる

to bear
to stand
to endure
to put up with
to support
to withstand
to resist
to brave
to be fit for
to be equal to
"
573,不可,"不可
ふか

wrong
bad
improper
unjustifiable
inadvisable
not allowed
not possible
failing grade
"
574,道,"道
みち

road
street
way
path
course
route
lane
distance
ways (e.g. ""a long ways"")
the way (of proper conduct, etc.)
one's way
morals
teachings (esp. Confucian or Buddhist)
dogma
field (of medicine, etc.)
subject
way
method
means
"
575,先,"先
さき

previous
prior
former
first
earlier
some time ago
preceding
point (e.g. pencil)
tip
end
nozzle
head (of a line)
front
ahead
the other side
the future
hereafter
destination
the other party
"
576,あげる,"あげる
あげる

to raise
to elevate
to do up (one's hair)
to fly (a kite, etc.)
to launch (fireworks, etc.)
to surface (a submarine, etc.)
to land (a boat)
to deep-fry
to show someone (into a room)
to summon (for geishas, etc.)
to send someone (away)
to enrol (one's child in school)
to enroll
to increase (price, quality, status, etc.)
to develop (talent, skill)
to improve
to make (a loud sound)
to raise (one's voice)
to earn (something desirable)
to praise
to give (an example, etc.)
to cite
to summon up (all of one's energy, etc.)
to arrest
to nominate
to give
to offer up (incense, a prayer, etc.) to the gods (or Buddha, etc.)
to bear (a child)
to conduct (a ceremony, esp. a wedding)
(of the tide) to come in
to vomit
to do for (the sake of someone else)
to complete ...
to humbly do ...
"
577,以上,"以上
いじょう

not less than
... and more
... and upwards
beyond ... (e.g. one's means)
further (e.g. nothing further to say)
more than ... (e.g. cannot pay more than that)
above-mentioned
foregoing
since ...
seeing that ...
this is all
that is the end
the end
"
578,通う,"通う
かよう

to go to and from (a place)
to go back and forth between
to run between (e.g. bus, train, etc.)
to ply between
to go to (school, work, etc.)
to attend
to commute
to frequent
to circulate (e.g. blood, electricity)
to be communicated (e.g. thought)
to resemble
"
579,若い,"若い
わかい

young
youthful
immature
green
low (number)
small
"
580,型,"型
かた
がた

model
type (e.g. of machine, goods, etc.)
type
style
pattern
mold (mould)
template
model
kata (standard form of a movement, posture, etc. in martial arts, sport, etc.)
form (i.e. customary procedure)
size (i.e. clothing, shoes)
(taxonomical) form
"
581,間,"間
あいだ
あわい

space (between)
gap
interval
distance
time (between)
pause
break
span (temporal or spatial)
stretch
period (while)
relationship (between, among)
members (within, among)
due to
because of
"
582,風呂,"風呂
ふろ

bath
bathtub
bathroom
bathhouse
room for drying lacquerware
base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)
"
583,名,"名
な

name
given name
title
fame
renown
reputation
pretext
pretense
justification
appearance
"
584,置く,"置く
おく

to put
to place
to leave (behind)
to establish (an organization, a facility, a position, etc.)
to set up
to appoint (someone to a certain position)
to hire
to employ
to place (one's trust, one's faith, etc)
to bear (in mind etc)
to put down a tool (e.g. a pen) hence stopping what one is doing with that tool
to take in (boarders, etc.)
to provide lodging in one's house
to separate spatially or temporally
to do something in advance
to leave something in a certain state
to keep something in a certain state
"
585,浴びる,"浴びる
あびる

to dash over oneself (e.g. water)
to take (e.g. shower)
to bask in (e.g. the sun)
to bathe in
to be flooded with (e.g. light)
to be covered in
to suffer (e.g. an attack)
to draw (e.g. criticism, attention, praise)
to have heaped upon
to be showered with
"
586,甘い,"甘い
あまい

sweet-tasting
sweet
sugary
sugared
fragrant (smelling)
sweet (music)
lightly salted
light in salt
not spicy
naive
overly optimistic
soft on
generous
indulgent
easy-going
lenient
half-hearted
not finished properly
insufficient
not satisfactory
inadequate
loose
mild
tempting
enticing
luring
"
587,飲む,"飲む
のむ

to drink
to gulp
to swallow
to take (medicine)
to smoke (tobacco)
to engulf
to overwhelm
to keep down
to suppress
to accept (e.g. demand, condition)
to make light of
to conceal
"
588,空,"空
そら

sky
the air
the heavens
weather
far-off place
distant place
state of mind
feeling
(from) memory
(by) heart
falsehood
lie
somehow
vaguely
fake
"
589,差す,"差す
さす

to shine
to be visible
to be tinged with
to rise (of water levels)
to flow in
to be felt (i.e. as an emotion)
to come over one
to hold up (an umbrella, etc.)
to put up
to raise
to extend one's arm straight ahead (in dance)
to insert
to put in
to wear (a sword) in one's belt
to wear at one's side
to carry under one's arm
to insert one's arm under an opponent's arm
to pole (a boat)
to pour
to add (liquid)
to serve (drinks)
to put on (lipstick, etc.)
to apply
to colour
to dye
to light (a fire)
to burn
to shut
to close
to lock
to fasten
to stop in the midst of
to leave undone
"
590,貼る,"貼る
はる

to stick
to paste
to affix
to stretch
to spread
to strain
to tighten
to put up (tent)
to form (e.g. ice on a pond)
to fill
to swell
to stick out
to put
to slap
to be expensive
to keep a watch on
to be on the lookout
to become one tile away from completion
to span
to generate
"
591,実際に,"実際に
じっさいに

virtually
practically
in practice
actually
currently
presently
"
592,代わり,"代わり
かわり

substitute
replacement
substituting
replacing
stand-in
proxy
alternate
deputy
relief
successor
compensation
exchange
return
second helping
another cup
seconds
upcoming program
upcoming programme
"
593,自然,"自然
しぜん

nature
natural
spontaneous
naturally
spontaneously
"
594,決める,"決める
きめる

to decide
to choose
to determine
to make up one's mind
to resolve
to set one's heart on
to settle
to arrange
to set
to appoint
to fix
to clinch (a victory)
to decide (the outcome of a match)
to persist in doing
to go through with
to always do
to have made a habit of
to take for granted
to assume
to dress up
to dress to kill
to dress to the nines
to carry out successfully (a move in sports, a pose in dance, etc.)
to succeed in doing
to immobilize with a double-arm lock (in sumo, judo, etc.)
to eat or drink something
to take illegal drugs
"
595,汚い,"汚い
きたない

dirty
filthy
foul
unclean
disordered
messy
untidy
poor (e.g. handwriting)
indecent (language, etc.)
dirty
vulgar
coarse
dastardly
mean
base
underhanded
stingy
greedy
"
596,通る,"通る
とおる

to go by
to go past
to go along
to travel along
to pass through
to use (a road)
to take (a route)
to go via
to go by way of
to run (between)
to operate (between)
to connect
to go indoors
to go into a room
to be admitted
to be shown in
to be ushered in
to come in
to penetrate
to pierce
to skewer
to go through
to come through
to permeate
to soak into
to spread throughout
to carry (e.g. of a voice)
to reach far
to be passed on (e.g. of a customer's order to the kitchen)
to be relayed
to be conveyed
to pass (a test, a bill in the House, etc.)
to be approved
to be accepted
to go by (a name)
to be known as
to be accepted as
to have a reputation for
to be coherent
to be logical
to be reasonable
to be comprehensible
to be understandable
to make sense
to get across (e.g. of one's point)
to be understood
to be straight (e.g. wood grain)
to be well-informed
to be wise
to do ... completely
to do ... thoroughly
"
597,立つ,"立つ
たつ

to stand
to rise
to stand up
to find oneself (e.g. in a difficult position)
to depart (on a plane, train, etc.)
"
598,切る,"切る
きる

to cut
to cut through
to perform (surgery)
to sever (connections, ties)
to turn off (e.g. the light)
to terminate (e.g. a conversation)
to hang up (the phone)
to disconnect
to punch (a ticket)
to tear off (a stub)
to open (something sealed)
to start
to set (a limit)
to do (something) in less or within a certain time
to issue (stamps, vouchers, etc.)
to reduce
to decrease
to discount
to shake off (water, etc.)
to let drip-dry
to let drain
to cross
to traverse
to criticize sharply
to act decisively
to do (something noticeable)
to go first
to make (certain facial expressions, in kabuki)
to turn (a vehicle)
to curl (a ball)
to bend
to cut
to shuffle (cards)
to dismiss
to sack
to let go
to expulse
to excommunicate
to dig (a groove)
to cut (a stencil, on a mimeograph)
to trump
(in Go) to isolate (an opponent's stone)
to start a fire (with wood-wood friction or by striking a metal against stone)
to draw (a shape) in the air (with a sword, etc.)
to finish
"
599,元,"元
もと

origin
source
base
basis
foundation
root
cause
ingredient
material
(somebody's) side
(somebody's) location
original cost (or capital, principal, etc.)
(plant) root
(tree) trunk
first section of a waka
former ~
originally a ~
counter for blades of grass, tree trunks, etc., and for falcons (in falconry)
handle (chopsticks, brush, etc.)
grip
"
600,撃つ,"撃つ
うつ

to shoot (at)
to attack
to defeat
to destroy
to avenge
"
601,くれぐれも,"くれぐれも
くれぐれも

repeatedly
sincerely
earnestly
"
602,耐える,"耐える
たえる

to bear
to stand
to endure
to put up with
to support
to withstand
to resist
to brave
to be fit for
to be equal to
"
603,まったく,"まったく
まったく

really
truly
entirely
completely
wholly
perfectly
indeed
good grief (expression of exasperation)
"
